section,title,file_name,document_type,page,total_pages,context,question,answer,similarity_score,BLEU,Cosine
Results,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,29,53,"['20 ln 6 1 3.29 7 1.645 8 1.645 9 where is the log nor mal mean of , , not to be confused with which is the mean calculated assuming a normal distribution. is the log nor mal standard deviation of , and 1.645 is the standard normal 0.95 for a 95 confidence interval. Equation 7 , de scribing log normal standard deviation was included so the origin of E qua tion 11 , for , can be derived easily. Since we know that , is log normal, we are also aware therefore that is additionally a log normal distribution with mean and standard deviation . As such , we see the following behaviors of log normal mean , and standard deviation ln 10 1 3.29 2 11 Add itionally the log normal variance 2 is considered in the following equation 2 1 3.292 2 12 From the values of the mean and standard deviation for each individual failure event, the following equations define the upper and lower uncertainty bounds on 1.645 13 1.645 14 To calculate the mean and variance 2 on , without a log normal bias, and for further use in the system of equations 2 2 15 2 2 2 2 1 16']", How does the log normal distribution of *T* affect the calculation of the uncertainty bounds for *t*?," The text notes that *T*, representing the time to perform a task, is log normally distributed. The equations presented (13 and 14) use the log normal mean (μ) and standard deviation (σ) of *T* to calculate the upper and lower bounds for *t*. This implies that the uncertainty bounds for *t* are influenced by the log normal properties of *T*, potentially resulting in wider bounds compared to a normal distribution.",48,0.015445352,0.645388053
Introduction,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,28,53,"['19 Swain and Guttman 1983 discuss three phases of quantification in THERP, which are largely mirrored in subsequent HRA methods Nominal HEP which is the default error rate corresponding to a particular task type, Basic HEP which is the nominal HEP modified for influences like PSFs on the basic performance, and Conditional HEP which is the basic HEP modified for dependence, the assumption that the error likelihood increases when an error condition is already underway. These three areas map also well to the three sections covered in this chapter, although in a slightly different order. It is also important to note that this chapter will not review assumptions about the nominal HEP. Rather, it is assumed that the nominal error rate tables provided in a method such as THERP are valid at the subtask level for which they were originally created. However, associated with each HEP is also a measure of uncertainty. The uncertainty discussion centers on statistical considerations associated with propagating uncertainty ove r a large number of units of analysis. This chapter does not focus exclusively on flooding events. Flooding, as discussed earlier, is only one of a number of different kinds of external events, but the findings should generalize to other types of events, from normal occurrences to off normal and severe accidents. The important point to note is that when modeling dynamic HRA, the granularity of analysis is finer than most static HRA methods. This chapter serves to test how conventional HRA methods scale to this level of precision, whether for flooding or other events. In order to determine whether HRA methods can be use to model flooding effects dynamically, they first need to model general phenomena dynamically. As such, this chapter serves as a modelin g proof for the transferability of static HRA quantification to dynamic applications. 3.2 Uncertainty Quantification 3.2.1 Basic Equations To calculate the total human failure in a NPP and the corresponding uncertainty bounds, the following set of equations were outlined in Appendix A of THERP Swain and Guttman, 1983 . The probability of total failure, P Ft , is the sum of all of the individual failure probabilities, P Fi . These individual failures, F i, correspond to tasks as defined in THERP. Additionally, each Fi is composed of several subtasks, F i,j , which do not individually lead to a failure event but only result in failure when a certain combination of F i,j occur together see Figure 9 for illustration . The probability distribution of P F i,j is assumed to be log normal, and the relationship between P Fi and P F i,j is described in THERP Appendix A in the following way , 5 where i is a task, j is a subtask of i, and is the number of subtasks in each task. For example, as seen in Figure 9, there are there tasks, or i s, such that we model 1 , 2 , 3 . Also in Figure 9 , t here are three subtasks in 1 , or j s such that we have 1,1 , 1,2 , 1,3 . The probability of a basic or conditional HEP is , and has a known or expertly defined median , upper , and lower bound. From these three values of log normal , the following system of equations are derived to describe the behavior of the uncertainty bounds on . Thus, for a log normal distribution of , the following is defined']", How does the granularity of dynamic HRA differ from static HRA methods?," The text emphasizes that dynamic HRA requires a finer level of analysis compared to static HRA methods. This difference in granularity is crucial for modeling dynamic events and their impact on operator performance. This chapter aims to explore how conventional HRA methods can be scaled to accommodate this level of precision and effectively model dynamic phenomena, including flooding events.",53,2.72E-05,0.426582062
Introduction,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,28,53,"['19 Swain and Guttman 1983 discuss three phases of quantification in THERP, which are largely mirrored in subsequent HRA methods Nominal HEP which is the default error rate corresponding to a particular task type, Basic HEP which is the nominal HEP modified for influences like PSFs on the basic performance, and Conditional HEP which is the basic HEP modified for dependence, the assumption that the error likelihood increases when an error condition is already underway. These three areas map also well to the three sections covered in this chapter, although in a slightly different order. It is also important to note that this chapter will not review assumptions about the nominal HEP. Rather, it is assumed that the nominal error rate tables provided in a method such as THERP are valid at the subtask level for which they were originally created. However, associated with each HEP is also a measure of uncertainty. The uncertainty discussion centers on statistical considerations associated with propagating uncertainty ove r a large number of units of analysis. This chapter does not focus exclusively on flooding events. Flooding, as discussed earlier, is only one of a number of different kinds of external events, but the findings should generalize to other types of events, from normal occurrences to off normal and severe accidents. The important point to note is that when modeling dynamic HRA, the granularity of analysis is finer than most static HRA methods. This chapter serves to test how conventional HRA methods scale to this level of precision, whether for flooding or other events. In order to determine whether HRA methods can be use to model flooding effects dynamically, they first need to model general phenomena dynamically. As such, this chapter serves as a modelin g proof for the transferability of static HRA quantification to dynamic applications. 3.2 Uncertainty Quantification 3.2.1 Basic Equations To calculate the total human failure in a NPP and the corresponding uncertainty bounds, the following set of equations were outlined in Appendix A of THERP Swain and Guttman, 1983 . The probability of total failure, P Ft , is the sum of all of the individual failure probabilities, P Fi . These individual failures, F i, correspond to tasks as defined in THERP. Additionally, each Fi is composed of several subtasks, F i,j , which do not individually lead to a failure event but only result in failure when a certain combination of F i,j occur together see Figure 9 for illustration . The probability distribution of P F i,j is assumed to be log normal, and the relationship between P Fi and P F i,j is described in THERP Appendix A in the following way , 5 where i is a task, j is a subtask of i, and is the number of subtasks in each task. For example, as seen in Figure 9, there are there tasks, or i s, such that we model 1 , 2 , 3 . Also in Figure 9 , t here are three subtasks in 1 , or j s such that we have 1,1 , 1,2 , 1,3 . The probability of a basic or conditional HEP is , and has a known or expertly defined median , upper , and lower bound. From these three values of log normal , the following system of equations are derived to describe the behavior of the uncertainty bounds on . Thus, for a log normal distribution of , the following is defined']"," What is the significance of the statement that ""this chapter does not focus exclusively on flooding events""?"," This statement highlights the broader applicability of the research. Although the study is focused on modeling operator performance during flooding scenarios, it acknowledges that the findings can be generalized to other types of external events. This suggests that the methodology and insights gained from this research have wider implications in the field of Human Reliability Analysis (HRA).",48,9.64E-06,0.509692482
Introduction,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,28,53,"['19 Swain and Guttman 1983 discuss three phases of quantification in THERP, which are largely mirrored in subsequent HRA methods Nominal HEP which is the default error rate corresponding to a particular task type, Basic HEP which is the nominal HEP modified for influences like PSFs on the basic performance, and Conditional HEP which is the basic HEP modified for dependence, the assumption that the error likelihood increases when an error condition is already underway. These three areas map also well to the three sections covered in this chapter, although in a slightly different order. It is also important to note that this chapter will not review assumptions about the nominal HEP. Rather, it is assumed that the nominal error rate tables provided in a method such as THERP are valid at the subtask level for which they were originally created. However, associated with each HEP is also a measure of uncertainty. The uncertainty discussion centers on statistical considerations associated with propagating uncertainty ove r a large number of units of analysis. This chapter does not focus exclusively on flooding events. Flooding, as discussed earlier, is only one of a number of different kinds of external events, but the findings should generalize to other types of events, from normal occurrences to off normal and severe accidents. The important point to note is that when modeling dynamic HRA, the granularity of analysis is finer than most static HRA methods. This chapter serves to test how conventional HRA methods scale to this level of precision, whether for flooding or other events. In order to determine whether HRA methods can be use to model flooding effects dynamically, they first need to model general phenomena dynamically. As such, this chapter serves as a modelin g proof for the transferability of static HRA quantification to dynamic applications. 3.2 Uncertainty Quantification 3.2.1 Basic Equations To calculate the total human failure in a NPP and the corresponding uncertainty bounds, the following set of equations were outlined in Appendix A of THERP Swain and Guttman, 1983 . The probability of total failure, P Ft , is the sum of all of the individual failure probabilities, P Fi . These individual failures, F i, correspond to tasks as defined in THERP. Additionally, each Fi is composed of several subtasks, F i,j , which do not individually lead to a failure event but only result in failure when a certain combination of F i,j occur together see Figure 9 for illustration . The probability distribution of P F i,j is assumed to be log normal, and the relationship between P Fi and P F i,j is described in THERP Appendix A in the following way , 5 where i is a task, j is a subtask of i, and is the number of subtasks in each task. For example, as seen in Figure 9, there are there tasks, or i s, such that we model 1 , 2 , 3 . Also in Figure 9 , t here are three subtasks in 1 , or j s such that we have 1,1 , 1,2 , 1,3 . The probability of a basic or conditional HEP is , and has a known or expertly defined median , upper , and lower bound. From these three values of log normal , the following system of equations are derived to describe the behavior of the uncertainty bounds on . Thus, for a log normal distribution of , the following is defined']"," What are the three phases of quantification in THERP, and how do they relate to the content of the chapter?"," The three phases of quantification in THERP are Nominal HEP, Basic HEP, and Conditional HEP.  Nominal HEP represents the default error rate for a given task. Basic HEP modifies this rate based on factors like Performance Shaping Factors (PSFs), and Conditional HEP accounts for the increased probability of error when an error condition is already in progress. These three phases map onto the sections of this chapter, although not in the same order, as the chapter focuses on the latter two phases: Basic and Conditional HEP.",57,0.00069176,0.557141519
Introduction,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,27,53,"['18 Figure 8. Human event progression according to time slices, subtasks, and HFEs. This chapter reviews what happens to HRA when the unit of analysis is changed from an HFE to a unit of analysis suitable for dynamic modeling. Underlying this discussion is the key assumption that dynamic HRA requires a finer grain of modeling precision than the HFE. Ideally, the HFE represents a thorough human factors subtask analysis EPRI, 1992 IEEE, 1997 Kolaczkowski et al., 2005 . The human reliability analyst will then quantify the event at the appropriate level of aggregation. HRA methods treat the unit of quantification differently. For example, the original HRA method, the Technique for Human Error Prediction THERP Swain and Guttman, 1983 quantifies at the subtask level. In contrast, SPAR H Gertman et al., 2005 analyzes events at the HFE level, despite being derived from THERP Boring Blackman, 2007 . Ideally, the quantification approach should transfer between different framings of the event space. This chapter reviews three areas of HRA quantification as they are translated from HFEs to subtasks or time slices. These areas are Uncertainty quantification see Section 3.2 , Conditional Probability Quantification see Section 3.3 , and Basic Probability Quantification see Section 3.4 .']"," What are the three key areas of HRA quantification that are discussed in this chapter, and what is the goal of reviewing these areas in the context of dynamic HRA?"," The chapter explores Uncertainty quantification, Conditional Probability Quantification, and Basic Probability Quantification. The authors aim to demonstrate how these areas of HRA quantification can be translated from the traditional HFE-based approach to dynamic dynamic modeling, which uses subtasks and time slices as units of analysis. This translation is crucial for ensuring consistency and compatibility between different models of human reliability.",47,0.008506962,0.548120103
Introduction,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,27,53,"['18 Figure 8. Human event progression according to time slices, subtasks, and HFEs. This chapter reviews what happens to HRA when the unit of analysis is changed from an HFE to a unit of analysis suitable for dynamic modeling. Underlying this discussion is the key assumption that dynamic HRA requires a finer grain of modeling precision than the HFE. Ideally, the HFE represents a thorough human factors subtask analysis EPRI, 1992 IEEE, 1997 Kolaczkowski et al., 2005 . The human reliability analyst will then quantify the event at the appropriate level of aggregation. HRA methods treat the unit of quantification differently. For example, the original HRA method, the Technique for Human Error Prediction THERP Swain and Guttman, 1983 quantifies at the subtask level. In contrast, SPAR H Gertman et al., 2005 analyzes events at the HFE level, despite being derived from THERP Boring Blackman, 2007 . Ideally, the quantification approach should transfer between different framings of the event space. This chapter reviews three areas of HRA quantification as they are translated from HFEs to subtasks or time slices. These areas are Uncertainty quantification see Section 3.2 , Conditional Probability Quantification see Section 3.3 , and Basic Probability Quantification see Section 3.4 .']", How do the original HRA method (THERP) and the SPAR-H method differ in their approach to quantifying human reliability?," THERP quantifies human reliability at the subtask level, while SPAR-H analyzes events at the HFE level despite being derived from THERP. This difference highlights the variation in granularity of analysis between different HRA methods and the potential for inconsistencies in how errors are quantified.",59,0.005940646,0.508027147
Introduction,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,27,53,"['18 Figure 8. Human event progression according to time slices, subtasks, and HFEs. This chapter reviews what happens to HRA when the unit of analysis is changed from an HFE to a unit of analysis suitable for dynamic modeling. Underlying this discussion is the key assumption that dynamic HRA requires a finer grain of modeling precision than the HFE. Ideally, the HFE represents a thorough human factors subtask analysis EPRI, 1992 IEEE, 1997 Kolaczkowski et al., 2005 . The human reliability analyst will then quantify the event at the appropriate level of aggregation. HRA methods treat the unit of quantification differently. For example, the original HRA method, the Technique for Human Error Prediction THERP Swain and Guttman, 1983 quantifies at the subtask level. In contrast, SPAR H Gertman et al., 2005 analyzes events at the HFE level, despite being derived from THERP Boring Blackman, 2007 . Ideally, the quantification approach should transfer between different framings of the event space. This chapter reviews three areas of HRA quantification as they are translated from HFEs to subtasks or time slices. These areas are Uncertainty quantification see Section 3.2 , Conditional Probability Quantification see Section 3.3 , and Basic Probability Quantification see Section 3.4 .']", What is the fundamental difference in approach between traditional Human Reliability Analysis (HRA) and the dynamic HRA explored in this chapter?," Traditional HRA typically focuses on analyzing human errors at the level of Human Factors Events (HFEs), while dynamic HRA requires a finer level of analysis by breaking down events into subtasks and time slices. This shift reflects the need for greater precision in modeling human performance in dynamic situations.",46,0.005513381,0.404742626
Introduction,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,26,53,"['17 3. STATISTICAL MODELING CONSIDERATIONS FOR COMPUTATIONAL HUMAN RELIABILITY ANALYSIS 3.1 Introduction Human reliability can be greatly impacted by beyond design basis accidents like severe flooding or seismic events. As noted in Boring, St. Germain, et al. 2015 , many HRA methods do not properly account for human actions during severe accidents. Unique a spects of human activity include the use of severe accident mitigation guidelines SAMGs , use of FLEX equipment that are a part of the Diverse and Flexible Coping Strategies implemented by NPPs post Fukushima , unavailability of key equipment, use of extended teams as part of the emergency operating center, and potentially issues of fitness for duty due to severe environmental conditions and prolonged work periods. The legacy of HRA is that almost all methods to date have been static Boring, Mandelli, et al., 2015 . Just as the adaptation from design basis to beyond design basis is difficult for static methods, the problem is made more complex when developing dynamic HRA methods, which look at the emergent evolution of an event instead of analyzing a pre scripted set of scenarios. The promise of dynamic methods is their ability to model performance more completely than the expert judgment processes required for completing static HRAs. The downside of dynamic methods is the increased methodological and implementation complexity. The general challenge of making HRA dynamic is increased multifold when dynamic methods must tackle the inherent uncertainty of severe accidents. Not only is the method complexity increased, but also the modeling complexity. Static methods are based on analyzing human performance for a pre defined set of tasks that are generally clustered as human failure events HFEs . The challenge in extrapolating from these HFE snapshots to dynamic models is that many of the basic assumptions of these methods have not been validated for dynamic applications. For example, as depicted hypothetically in Figure 8, a sequence of events can be parsed i n many ways. The horizontal axis divides the event along a chronological progression, in this case in terms of minutes. The dotted vertical lines demark subtasks during the sequence of events. Finally, the blue boxes denote HFEs. Each minute reveals a different outcome in terms of the dynamic HEP calculation. Similarly, the subtasks and HFEs track the changing HEP. Yet, HRA methods are not designed to track at all three levels of delineation. An HRA method that is applied successfully to three sequential HFEs as part of an event progression may not adequately cover further delimiting the HFE into 9 subtasks or 10 minute long time slices. To model the event progression, however, it is necessary to model the HFE at a finer granularity corresponding to the 9 subtasks or 10 time slices. The static HRA method may not lend itself to these different units of analysis. Moreover, the error quantification approach used may not prove accurate for the different unit of analysis. To frame the event progression i n Figure 8 differently, consider the case of a major flooding incident. Major damage to the plant is sustained around the 4 minute mark along the timeline. HFE1 corresponds to the pre initiator, HFE2 encompasses the initiating event, and HFE3 spans the post initiator recovery. As can be seen, the HEP remains low during the pre initiator period, surges during the initiating event, and remains high during the recovery period. Static HRA methods, which would tend to analyze the event in terms of the three HFEs may not fully model the changes to operator performance within each HFE. For example, the surge in error during HFE2 likely caused by sudden increases in stress actually consists of three different slopes of the error plot an initial relatively flat period, a rapidly rising period, and a plateau that shows signs of gradually declining. The flooding has differing effects on the plant and the operators, but conventional static parsing of the event may not fully map the dynamic progression of the event and the equally dynamic error curve associated with different tasks and time slices.']", What are the specific examples of human activity mentioned in the text that are affected by beyond design basis accidents and not adequately accounted for by traditional HRA methods?," The text mentions several aspects of human activity during severe accidents that challenge static HRA methods.  These include the use of severe accident mitigation guidelines (SAMGs), reliance on FLEX equipment, unavailability of key equipment,  extended team involvement in emergency operating centers, and potential fitness-for-duty issues due to environmental conditions and prolonged work periods.  These complex factors, particularly the impact of stress and prolonged work on operator performance, are often overlooked by static methods that primarily focus on predetermined scenarios.",62,0.000132401,0.48739217
Introduction,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,26,53,"['17 3. STATISTICAL MODELING CONSIDERATIONS FOR COMPUTATIONAL HUMAN RELIABILITY ANALYSIS 3.1 Introduction Human reliability can be greatly impacted by beyond design basis accidents like severe flooding or seismic events. As noted in Boring, St. Germain, et al. 2015 , many HRA methods do not properly account for human actions during severe accidents. Unique a spects of human activity include the use of severe accident mitigation guidelines SAMGs , use of FLEX equipment that are a part of the Diverse and Flexible Coping Strategies implemented by NPPs post Fukushima , unavailability of key equipment, use of extended teams as part of the emergency operating center, and potentially issues of fitness for duty due to severe environmental conditions and prolonged work periods. The legacy of HRA is that almost all methods to date have been static Boring, Mandelli, et al., 2015 . Just as the adaptation from design basis to beyond design basis is difficult for static methods, the problem is made more complex when developing dynamic HRA methods, which look at the emergent evolution of an event instead of analyzing a pre scripted set of scenarios. The promise of dynamic methods is their ability to model performance more completely than the expert judgment processes required for completing static HRAs. The downside of dynamic methods is the increased methodological and implementation complexity. The general challenge of making HRA dynamic is increased multifold when dynamic methods must tackle the inherent uncertainty of severe accidents. Not only is the method complexity increased, but also the modeling complexity. Static methods are based on analyzing human performance for a pre defined set of tasks that are generally clustered as human failure events HFEs . The challenge in extrapolating from these HFE snapshots to dynamic models is that many of the basic assumptions of these methods have not been validated for dynamic applications. For example, as depicted hypothetically in Figure 8, a sequence of events can be parsed i n many ways. The horizontal axis divides the event along a chronological progression, in this case in terms of minutes. The dotted vertical lines demark subtasks during the sequence of events. Finally, the blue boxes denote HFEs. Each minute reveals a different outcome in terms of the dynamic HEP calculation. Similarly, the subtasks and HFEs track the changing HEP. Yet, HRA methods are not designed to track at all three levels of delineation. An HRA method that is applied successfully to three sequential HFEs as part of an event progression may not adequately cover further delimiting the HFE into 9 subtasks or 10 minute long time slices. To model the event progression, however, it is necessary to model the HFE at a finer granularity corresponding to the 9 subtasks or 10 time slices. The static HRA method may not lend itself to these different units of analysis. Moreover, the error quantification approach used may not prove accurate for the different unit of analysis. To frame the event progression i n Figure 8 differently, consider the case of a major flooding incident. Major damage to the plant is sustained around the 4 minute mark along the timeline. HFE1 corresponds to the pre initiator, HFE2 encompasses the initiating event, and HFE3 spans the post initiator recovery. As can be seen, the HEP remains low during the pre initiator period, surges during the initiating event, and remains high during the recovery period. Static HRA methods, which would tend to analyze the event in terms of the three HFEs may not fully model the changes to operator performance within each HFE. For example, the surge in error during HFE2 likely caused by sudden increases in stress actually consists of three different slopes of the error plot an initial relatively flat period, a rapidly rising period, and a plateau that shows signs of gradually declining. The flooding has differing effects on the plant and the operators, but conventional static parsing of the event may not fully map the dynamic progression of the event and the equally dynamic error curve associated with different tasks and time slices.']", How does the complexity of developing dynamic HRA methods differ from static methods?," While static methods focus on pre-defined tasks and scenarios, dynamic methods aim to model the continuous evolution of an event. This dynamic approach presents greater challenges, requiring intricate methodological and implementation techniques to account for the inherent uncertainty of severe accidents.  Dynamic methods must not only consider the changing nature of the event but also the varying human response to these changes. ",52,1.11E-05,0.631356578
Introduction,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,26,53,"['17 3. STATISTICAL MODELING CONSIDERATIONS FOR COMPUTATIONAL HUMAN RELIABILITY ANALYSIS 3.1 Introduction Human reliability can be greatly impacted by beyond design basis accidents like severe flooding or seismic events. As noted in Boring, St. Germain, et al. 2015 , many HRA methods do not properly account for human actions during severe accidents. Unique a spects of human activity include the use of severe accident mitigation guidelines SAMGs , use of FLEX equipment that are a part of the Diverse and Flexible Coping Strategies implemented by NPPs post Fukushima , unavailability of key equipment, use of extended teams as part of the emergency operating center, and potentially issues of fitness for duty due to severe environmental conditions and prolonged work periods. The legacy of HRA is that almost all methods to date have been static Boring, Mandelli, et al., 2015 . Just as the adaptation from design basis to beyond design basis is difficult for static methods, the problem is made more complex when developing dynamic HRA methods, which look at the emergent evolution of an event instead of analyzing a pre scripted set of scenarios. The promise of dynamic methods is their ability to model performance more completely than the expert judgment processes required for completing static HRAs. The downside of dynamic methods is the increased methodological and implementation complexity. The general challenge of making HRA dynamic is increased multifold when dynamic methods must tackle the inherent uncertainty of severe accidents. Not only is the method complexity increased, but also the modeling complexity. Static methods are based on analyzing human performance for a pre defined set of tasks that are generally clustered as human failure events HFEs . The challenge in extrapolating from these HFE snapshots to dynamic models is that many of the basic assumptions of these methods have not been validated for dynamic applications. For example, as depicted hypothetically in Figure 8, a sequence of events can be parsed i n many ways. The horizontal axis divides the event along a chronological progression, in this case in terms of minutes. The dotted vertical lines demark subtasks during the sequence of events. Finally, the blue boxes denote HFEs. Each minute reveals a different outcome in terms of the dynamic HEP calculation. Similarly, the subtasks and HFEs track the changing HEP. Yet, HRA methods are not designed to track at all three levels of delineation. An HRA method that is applied successfully to three sequential HFEs as part of an event progression may not adequately cover further delimiting the HFE into 9 subtasks or 10 minute long time slices. To model the event progression, however, it is necessary to model the HFE at a finer granularity corresponding to the 9 subtasks or 10 time slices. The static HRA method may not lend itself to these different units of analysis. Moreover, the error quantification approach used may not prove accurate for the different unit of analysis. To frame the event progression i n Figure 8 differently, consider the case of a major flooding incident. Major damage to the plant is sustained around the 4 minute mark along the timeline. HFE1 corresponds to the pre initiator, HFE2 encompasses the initiating event, and HFE3 spans the post initiator recovery. As can be seen, the HEP remains low during the pre initiator period, surges during the initiating event, and remains high during the recovery period. Static HRA methods, which would tend to analyze the event in terms of the three HFEs may not fully model the changes to operator performance within each HFE. For example, the surge in error during HFE2 likely caused by sudden increases in stress actually consists of three different slopes of the error plot an initial relatively flat period, a rapidly rising period, and a plateau that shows signs of gradually declining. The flooding has differing effects on the plant and the operators, but conventional static parsing of the event may not fully map the dynamic progression of the event and the equally dynamic error curve associated with different tasks and time slices.']", What are the limitations of traditional static HRA methods when applied to beyond design basis accidents like severe flooding? ,"  Static HRA methods were primarily developed for analyzing pre-defined scenarios, making them ill-suited for handling the dynamic and unpredictable nature of beyond design basis events. These methods struggle to account for the emergent evolution of an event, particularly the changing human performance under extreme stress and unexpected situations. For instance, static methods may not adequately capture the fluctuating levels of human error during events, particularly the impact of severe flooding on operator performance.",47,3.75E-05,0.608848677
Discussion,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,25,53,"['16 considerably more difficult to resupply the station when they needed additional resources e.g., additional diesel fire trucks . Given these key differences between the Fuku shima Daiichi flood induced SBO, Hurricane Katrina and Fort Calhoun, there are no additional insights to be gained with respect to the immediate, post initiator actions operators need ed to take in response to these other flooding events. There are, however, a number of latent organizational challenges related to 1 the degree of disaster preparedness pre event, and 2 the long term capability to respond to the flooding event. For example, one parallel between Fukushima and Hurricane Katrina is the degree to which experts underestimated the extent of destruction nature can wrought. Decisions as to what type of flood protection should be built in New Orleans were influenced by cost considerations Rogers, Kemp, Bosworth, Seed, 2015 . Furthermore, misinterpretation of data resulted in a decrease in the reliability of the floodwalls surrounding New Orleans. Similar arguments could be made about the height of the sea wall protecting Fukushima Daiichi. Additionally, similar to Hurricane Katrina, the long term emergency response to the tsunami was complicated by several factors. According to the 2012 report by the National Diet of Japan Japan s bicameral legislature , emergency procedures and SAMGs for an SBO were not well developed due to th e perceived low probability of a tsunami of that magnitude occurring , and procedures from other countries e.g., United States c ould have been implemented prior to the earthquake. Having said this, the examination of latent organizational factors on human performance is outside the current scope of the RISMC modeling framework. The near term focus is on modeling the human perform ance of MCR and auxiliary operators in the hours and days post flooding, and the challenges they have to maintain adequate safety margin for the NPP.']",  What is the scope of the RISMC modeling framework in the context of latent organizational factors?,"  The text specifically states that the examination of latent organizational factors related to human performance is beyond the current scope of the RISMC modeling framework. The focus of the RISMC model is on analyzing the human performance of MCR and auxiliary operators in the immediate aftermath of a flooding event, particularly the challenges they face in maintaining adequate safety margins for the nuclear power plant.  This indicates that the RISMC model is primarily focused on the immediate operational response and less so on the broader organizational and preparedness aspects of disaster management.",52,0.02643339,0.678442618
Discussion,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios ,Proof-of-Concept Demonstrations for Computation-Based Human Reliability Analysis Modeling Operator Performance During Flooding Scenarios.pdf,academic paper,25,53,"['16 considerably more difficult to resupply the station when they needed additional resources e.g., additional diesel fire trucks . Given these key differences between the Fuku shima Daiichi flood induced SBO, Hurricane Katrina and Fort Calhoun, there are no additional insights to be gained with respect to the immediate, post initiator actions operators need ed to take in response to these other flooding events. There are, however, a number of latent organizational challenges related to 1 the degree of disaster preparedness pre event, and 2 the long term capability to respond to the flooding event. For example, one parallel between Fukushima and Hurricane Katrina is the degree to which experts underestimated the extent of destruction nature can wrought. Decisions as to what type of flood protection should be built in New Orleans were influenced by cost considerations Rogers, Kemp, Bosworth, Seed, 2015 . Furthermore, misinterpretation of data resulted in a decrease in the reliability of the floodwalls surrounding New Orleans. Similar arguments could be made about the height of the sea wall protecting Fukushima Daiichi. Additionally, similar to Hurricane Katrina, the long term emergency response to the tsunami was complicated by several factors. According to the 2012 report by the National Diet of Japan Japan s bicameral legislature , emergency procedures and SAMGs for an SBO were not well developed due to th e perceived low probability of a tsunami of that magnitude occurring , and procedures from other countries e.g., United States c ould have been implemented prior to the earthquake. Having said this, the examination of latent organizational factors on human performance is outside the current scope of the RISMC modeling framework. The near term focus is on modeling the human perform ance of MCR and auxiliary operators in the hours and days post flooding, and the challenges they have to maintain adequate safety margin for the NPP.']",  How does the text draw a parallel between the Fukushima Daiichi and Hurricane Katrina events in terms of preparedness and response?," The text highlights that both the Fukushima Daiichi and Hurricane Katrina events were characterized by experts underestimating the extent of potential destruction. In both cases, cost considerations influenced decisions about the level of flood protection, leading to inadequate safeguards.  The text also notes that misinterpretation of data contributed to the failure of the floodwalls surrounding New Orleans, and similar arguments could be made regarding the height of the sea wall protecting Fukushima Daiichi. Although separated by location and cause, these two events highlight the importance of robust disaster preparedness, including accurate risk assessments and sufficient infrastructure.  ",60,0.023531559,0.658207539
